"","SUL","Reuse","Method","EqO","MQs","EQs","PrefIni","SuffIni","PrefEnd","SuffEnd"
"11","BitVise","DropBear","WpMethodHypEQOracle","DL*M",16625,184511,17,13,4,1
"12","BitVise","DropBear","WpMethodHypEQOracle","DL*M+",18372,186484,17,13,7,2
"15","BitVise","OpenSSH","WpMethodHypEQOracle","DL*M+",16337,186484,3,16,7,2
"16","BitVise","OpenSSH","WpMethodHypEQOracle","DL*M",14368,184493,3,16,3,1
"19","DropBear","BitVise","WpMethodHypEQOracle","DL*M",18029,6907,66,23,7,2
"21","DropBear","OpenSSH","WpMethodHypEQOracle","DL*M",1768,6851,3,16,3,1
"23","DropBear","BitVise","WpMethodHypEQOracle","DL*M+",19632,6906,66,23,15,4
"24","DropBear","OpenSSH","WpMethodHypEQOracle","DL*M+",3185,6906,3,16,15,4
"27","OpenSSH","BitVise","WpMethodHypEQOracle","DL*M",27049,349127,46,22,9,2
"28","OpenSSH","BitVise","WpMethodHypEQOracle","DL*M+",30777,349127,46,22,11,2
"31","OpenSSH","DropBear","WpMethodHypEQOracle","DL*M+",14967,347485,14,12,15,5
"32","OpenSSH","DropBear","WpMethodHypEQOracle","DL*M",10796,353460,14,12,6,2
